,true_means,means,bias,total_rewards,pulls,std_means
0,1.0,0.9233926926209962,-0.07660730737900434,374.06066154556015,374.538,0.19260086406873436
1,0.75,0.6339420527405659,-0.11605794725943476,65.96224345688718,87.95,0.22510140405248438
2,0.5,0.43476758705257806,-0.06523241294742205,9.074926825290424,18.298,0.28375751975061797
3,0.375,0.3291168952660723,-0.04588310473392777,3.8160420620987794,10.438,0.3002481017058606
4,0.25,0.24086888966867046,-0.00913111033132928,2.2534673776383887,8.776,0.3179882635177708
