,true_means,means,bias,total_rewards,pulls,std_means
0,0.9,0.8994398236996545,-0.0005601763003453871,309.873,344.356,0.01635241640091753
1,0.7,0.6882653888882149,-0.01173461111178422,58.392,83.391,0.05555887015145503
2,0.5,0.47144098186600614,-0.02855901813399351,18.194,36.758,0.09298291198128426
3,0.3,0.274188025649715,-0.025811974350285823,6.321,21.318,0.10059000414726874
4,0.1,0.09086624118877845,-0.009133758811222076,1.442,14.177,0.0744116417001698
